id,status,totalAmount,dueDate,notes,createdAt,updatedAt,quoteId
30bf8c85-32ea-495d-ad2a-6a581fb3e246,Paid,138000.00,2026-09-04 11:12:39.022+00,Standard NET 30 Invoice for Equinox Systems Group - Next-Gen Digital Transformation Deal,2026-08-05 11:12:39.022+00,2026-08-05 11:12:39.022+00,a12edea1-6a27-4652-a82c-fec42e88e8b6
0ea2f219-ad2d-4127-a5b3-7ddf7b13286e,Sent,422000.00,2026-09-04 11:12:43.792+00,Standard NET 30 Invoice for Veritas Systems Group - Next-Gen Digital Transformation Deal,2026-08-05 11:12:43.792+00,2026-08-05 11:12:43.792+00,4eb5639f-37cf-4f94-a887-09be05e2c8cc
494a34c5-8c41-4455-a3ba-9c7f1e188942,Paid,174000.00,2026-09-04 11:12:48.064+00,Standard NET 30 Invoice for Genesis Systems Group - Annual SaaS Platform Expansion,2026-08-05 11:12:48.064+00,2026-08-05 11:12:48.064+00,295856b2-c24e-4fb0-b2f0-e633c86ae8ce
188036f1-a918-40b1-8f73-dbcc6788d4e9,Sent,460500.00,2026-09-04 11:12:52.332+00,Standard NET 30 Invoice for Nexus Systems Group - Field Operations Mobile Suite,2026-08-05 11:12:52.332+00,2026-08-05 11:12:52.332+00,d6634829-25fe-4fcb-ba00-917e447c45ae
cdae313b-7551-4384-818a-b22c1b397c9b,Paid,120000.00,2026-09-04 11:12:56.579+00,Standard NET 30 Invoice for Velocity Systems Group - Global Multi-Site ERP Integration,2026-08-05 11:12:56.579+00,2026-08-05 11:12:56.579+00,d56ad76f-b964-4640-9de5-d30012578911
3305581c-eeb8-46c6-a8cf-27dc4863f278,Sent,364500.00,2026-09-04 11:13:00.837+00,Standard NET 30 Invoice for Aegis Systems Group - Executive Business Intelligence Hub,2026-08-05 11:13:00.837+00,2026-08-05 11:13:00.837+00,32ce5dfa-f4df-4569-9aba-5f08bed46e63
415a68b5-3c6e-457a-adea-06080f11739f,Paid,180000.00,2026-09-04 11:13:05.09+00,Standard NET 30 Invoice for Equinox Systems Group - Field Operations Mobile Suite,2026-08-05 11:13:05.09+00,2026-08-05 11:13:05.09+00,0d7760d9-ff22-462e-b1c8-ea887a582783
847068b5-07b8-4564-9256-38c151edd330,Sent,134000.00,2026-09-04 11:13:09.342+00,Standard NET 30 Invoice for Veritas Systems Group - Global Multi-Site ERP Integration,2026-08-05 11:13:09.343+00,2026-08-05 11:13:09.343+00,8c286f0c-8d3c-4b8c-8f9a-e2cd485afd70
58b18739-2afc-45bb-9981-220670d6b56f,Paid,180000.00,2026-09-04 11:13:14.257+00,Standard NET 30 Invoice for Genesis Systems Group - Automated Supply Chain Orchestration,2026-08-05 11:13:14.257+00,2026-08-05 11:13:14.257+00,7dabdc1a-270b-4af4-984d-28f3f0fef4a4
a5d74d05-d065-49a2-813a-1e28f9ffb0ae,Sent,451000.00,2026-09-04 11:13:18.543+00,Standard NET 30 Invoice for Nexus Systems Group - Omnichannel Customer Experience Engine,2026-08-05 11:13:18.543+00,2026-08-05 11:13:18.543+00,aa2ce352-c764-49f6-8e52-3b58ca1439a0
e7dd1492-ff02-4b94-8c99-f21be4975f6b,Paid,42000.00,2026-09-04 11:13:22.854+00,Standard NET 30 Invoice for Genesis Systems Inc. - Predictive Analytics & AI Deployment,2026-08-05 11:13:22.854+00,2026-08-05 11:13:22.854+00,d830b528-c664-4510-b373-eda118480f17
1203342d-3cca-487a-a928-bb73e89fb3e5,Sent,345500.00,2026-09-04 11:13:27.083+00,Standard NET 30 Invoice for Nexus Systems Inc. - Predictive Analytics & AI Deployment,2026-08-05 11:13:27.083+00,2026-08-05 11:13:27.083+00,f322e2ad-80fa-4330-8e00-7c38afc02d9c
79d2c06b-23d2-4f04-b992-5edece9adee2,Paid,114000.00,2026-09-04 11:13:31.315+00,Standard NET 30 Invoice for Velocity Systems Inc. - Annual SaaS Platform Expansion,2026-08-05 11:13:31.315+00,2026-08-05 11:13:31.315+00,5c73f49d-bd37-4fb3-aae6-1fab3e79254c
cb76bbf9-26d2-45bd-aa5b-cbba2db55c55,Sent,172500.00,2026-09-04 11:13:35.595+00,Standard NET 30 Invoice for Aegis Systems Inc. - Annual SaaS Platform Expansion,2026-08-05 11:13:35.596+00,2026-08-05 11:13:35.596+00,65309008-bbd3-4134-81cc-96885ced2917
b7324b9d-7f39-4893-93ee-dfa594059d43,Paid,138000.00,2026-09-04 11:13:39.947+00,Standard NET 30 Invoice for Equinox Systems Inc. - Executive Business Intelligence Hub,2026-08-05 11:13:39.948+00,2026-08-05 11:13:39.948+00,863e4cb9-a742-4cb5-bc79-49747960e24e
c9a2e0e6-33fe-44e3-a59f-273469117581,Sent,326000.00,2026-09-04 11:13:44.175+00,Standard NET 30 Invoice for Veritas Systems Inc. - Automated Supply Chain Orchestration,2026-08-05 11:13:44.175+00,2026-08-05 11:13:44.175+00,d128c17b-4259-43d3-a462-6906ea22dc95
d873ef49-f3f0-49c6-809e-7b3ff4f329d6,Paid,156000.00,2026-09-04 11:13:48.396+00,Standard NET 30 Invoice for Genesis Systems Group - Executive Business Intelligence Hub,2026-08-05 11:13:48.396+00,2026-08-05 11:13:48.396+00,5bbceb51-b5e4-4655-b306-0fdc7a1fc25c
15118cfd-7d4b-421a-98ab-7e3e877b197b,Sent,364500.00,2026-09-04 11:13:52.649+00,Standard NET 30 Invoice for Nexus Systems Group - SOC2 Compliance & Infrastructure Hardening,2026-08-05 11:13:52.649+00,2026-08-05 11:13:52.649+00,022be95d-bd8b-48a8-b0ed-67c0cc3ce812
cca4c5b6-e31e-4809-a41f-5a40c0f1954f,Paid,168000.00,2026-09-04 11:13:56.901+00,Standard NET 30 Invoice for Velocity Systems Group - Next-Gen Digital Transformation Deal,2026-08-05 11:13:56.902+00,2026-08-05 11:13:56.902+00,a8488e28-3baa-4503-aea0-33862d4d7987
84e1f2bc-4cc1-4395-a927-2ccbb3062642,Sent,470000.00,2026-09-04 11:14:01.141+00,Standard NET 30 Invoice for Aegis Systems Group - Annual SaaS Platform Expansion,2026-08-05 11:14:01.142+00,2026-08-05 11:14:01.142+00,3694f0c6-ddbb-451c-bd77-9dd847c489e8
07c524a8-30c9-4432-b99f-66224c36eea0,Draft,0.00,2026-09-05 06:39:07.609+00,Auto-generated invoice upon Admin approval.,2026-08-06 06:39:07.61+00,2026-08-06 06:39:07.61+00,e84a95de-0277-4750-baf9-b5bed2f04f8d
b5328ac9-b72f-483c-8d81-b2fe5bd6956b,Sent,150000.00,2026-09-11 06:14:04.158+00,,2026-08-12 06:14:04.159+00,2026-08-12 06:14:04.159+00,be4dd670-36cd-497f-bc42-2e2c1329af70
a82b1ba5-2624-4ad5-a9fa-dda9ca626207,Sent,150000.00,2026-09-11 06:14:54.456+00,,2026-08-12 06:14:54.456+00,2026-08-12 06:14:54.456+00,3046483b-fb8f-47f6-be5b-9ebf31b3fb5a
9719d611-d2f1-45b3-a304-25afddcf58a9,Draft,2375000.00,2026-08-29 05:58:53.59+00,Invoice generated from Won Quote,2026-08-14 05:58:53.591+00,2026-08-14 05:58:53.591+00,9f2d809e-fa54-43d9-b769-9502c82c9311
